run_name,model,bottleneck_dim,noise_mode,epochs,train_samples,val_samples,test_samples,checkpoint_path,best_val_mse,test_mse,test_noisy_snr_db,test_recon_snr_db,test_snr_improvement_db
cnn_z64_sinusoidal,cnn,64,sinusoidal,20,2048,512,512,experiments/checkpoints/cnn_z64_sinusoidal_best.pt,0.017357222037389874,0.016876857029274106,4.012558311223984,13.237825155258179,9.225266844034195
lstm_z16_gaussian,lstm,16,gaussian,20,2048,512,512,experiments/checkpoints/lstm_z16_gaussian_best.pt,0.0037067136727273464,0.003725921851582825,9.550119996070862,17.48487687110901,7.934756875038147
lstm_z16_masking,lstm,16,masking,20,2048,512,512,experiments/checkpoints/lstm_z16_masking_best.pt,0.023203064687550068,0.02288655797019601,8.441526651382446,10.061951637268066,1.6204249858856201
lstm_z16_both,lstm,16,both,20,2048,512,512,experiments/checkpoints/lstm_z16_both_best.pt,0.024961229180917144,0.02568033616989851,6.183568835258484,9.64990234375,3.466333508491516
lstm_z16_impulse,lstm,16,impulse,20,2048,512,512,experiments/checkpoints/lstm_z16_impulse_best.pt,0.0013541890366468579,0.00139505451079458,-3.092459559440613,22.768105268478394,25.860564827919006
lstm_z16_sinusoidal,lstm,16,sinusoidal,20,2048,512,512,experiments/checkpoints/lstm_z16_sinusoidal_best.pt,0.015459672547876835,0.01570535497739911,4.005573868751526,12.814075112342834,8.808501243591309
lstm_z32_gaussian,lstm,32,gaussian,20,2048,512,512,experiments/checkpoints/lstm_z32_gaussian_best.pt,0.0037827820633538067,0.0037953773280605674,9.547934651374817,17.4230694770813,7.875134825706482
lstm_z32_masking,lstm,32,masking,20,2048,512,512,experiments/checkpoints/lstm_z32_masking_best.pt,0.022587019251659513,0.022899438394233584,8.376325964927673,10.085818648338318,1.7094926834106445
lstm_z32_both,lstm,32,both,20,2048,512,512,experiments/checkpoints/lstm_z32_both_best.pt,0.026058071525767446,0.02425081911496818,6.150120258331299,9.710336446762085,3.560216188430786
lstm_z32_impulse,lstm,32,impulse,20,2048,512,512,experiments/checkpoints/lstm_z32_impulse_best.pt,0.001848246596637182,0.0018934936233563349,-3.078012138605118,21.30453658103943,24.382548719644547
lstm_z32_sinusoidal,lstm,32,sinusoidal,20,2048,512,512,experiments/checkpoints/lstm_z32_sinusoidal_best.pt,0.01298354344908148,0.014994338271208107,4.09229701757431,15.151153445243835,11.058856427669525
lstm_z64_gaussian,lstm,64,gaussian,20,2048,512,512,experiments/checkpoints/lstm_z64_gaussian_best.pt,0.0037693046033382416,0.0037895801942795515,9.607408285140991,17.494782209396362,7.887373924255371
lstm_z64_masking,lstm,64,masking,20,2048,512,512,experiments/checkpoints/lstm_z64_masking_best.pt,0.02103993436321616,0.021969472290948033,8.468299508094788,10.30223524570465,1.8339357376098633
lstm_z64_both,lstm,64,both,20,2048,512,512,experiments/checkpoints/lstm_z64_both_best.pt,0.02327824360691011,0.024570026202127337,6.094961047172546,9.7102290391922,3.6152679920196533
lstm_z64_impulse,lstm,64,impulse,20,2048,512,512,experiments/checkpoints/lstm_z64_impulse_best.pt,0.0012309565354371443,0.0013884026993764564,-3.055643141269684,22.73910093307495,25.794744074344635
lstm_z64_sinusoidal,lstm,64,sinusoidal,20,2048,512,512,experiments/checkpoints/lstm_z64_sinusoidal_best.pt,0.014730073744431138,0.01448565546888858,4.1228258311748505,13.895092844963074,9.772267013788223
transformer_z16_gaussian,transformer,16,gaussian,20,2048,512,512,experiments/checkpoints/transformer_z16_gaussian_best.pt,0.01989290746860206,0.019959547789767385,9.534249782562256,10.086619019508362,0.552369236946106
transformer_z16_masking,transformer,16,masking,20,2048,512,512,experiments/checkpoints/transformer_z16_masking_best.pt,0.03170756227336824,0.031611998565495014,8.644824743270874,8.736053466796875,0.09122872352600098
transformer_z16_both,transformer,16,both,20,2048,512,512,experiments/checkpoints/transformer_z16_both_best.pt,0.03572434466332197,0.0355360796675086,6.158859491348267,7.86816793680191,1.7093084454536438
transformer_z16_impulse,transformer,16,impulse,20,2048,512,512,experiments/checkpoints/transformer_z16_impulse_best.pt,0.00079622573684901,0.0007992963292053901,-3.0741478502750397,24.220691919326782,27.294839769601822
transformer_z16_sinusoidal,transformer,16,sinusoidal,20,2048,512,512,experiments/checkpoints/transformer_z16_sinusoidal_best.pt,0.014790595974773169,0.013443447300232947,4.0157966911792755,14.10891580581665,10.093119114637375
transformer_z32_gaussian,transformer,32,gaussian,20,2048,512,512,experiments/checkpoints/transformer_z32_gaussian_best.pt,0.007734517625067383,0.00788330746581778,9.65453577041626,14.228687167167664,4.574151396751404
transformer_z32_masking,transformer,32,masking,20,2048,512,512,experiments/checkpoints/transformer_z32_masking_best.pt,0.03070270805619657,0.0324146281927824,8.385573506355286,8.52537751197815,0.13980400562286377
transformer_z32_both,transformer,32,both,20,2048,512,512,experiments/checkpoints/transformer_z32_both_best.pt,0.029740123776718974,0.029896450927481055,6.058048963546753,8.736778259277344,2.678729295730591
transformer_z32_impulse,transformer,32,impulse,20,2048,512,512,experiments/checkpoints/transformer_z32_impulse_best.pt,0.0014335759915411472,0.0014367317198775709,-3.110223203897476,21.65552306175232,24.765746265649796
transformer_z32_sinusoidal,transformer,32,sinusoidal,20,2048,512,512,experiments/checkpoints/transformer_z32_sinusoidal_best.pt,0.016065859119407833,0.013738106354139745,3.9935672879219055,14.594560027122498,10.600992739200592
transformer_z64_gaussian,transformer,64,gaussian,20,2048,512,512,experiments/checkpoints/transformer_z64_gaussian_best.pt,0.008379080449230969,0.008325239177793264,9.673583269119263,14.042344450950623,4.36876118183136
transformer_z64_masking,transformer,64,masking,20,2048,512,512,experiments/checkpoints/transformer_z64_masking_best.pt,0.03253038809634745,0.03075410728342831,8.665297269821167,8.748439311981201,0.08314204216003418
transformer_z64_both,transformer,64,both,20,2048,512,512,experiments/checkpoints/transformer_z64_both_best.pt,0.02625985909253359,0.027373011456802487,6.051755726337433,9.211230397224426,3.1594746708869934
transformer_z64_impulse,transformer,64,impulse,20,2048,512,512,experiments/checkpoints/transformer_z64_impulse_best.pt,0.0014133837830740958,0.001397580315824598,-3.0652008056640625,21.914212942123413,24.979413747787476
transformer_z64_sinusoidal,transformer,64,sinusoidal,20,2048,512,512,experiments/checkpoints/transformer_z64_sinusoidal_best.pt,0.014018250978551805,0.014746220549568534,4.028376191854477,14.222254633903503,10.193878442049026
